RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1132,0%@1132,0%@1132,0%@1132] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23C CPU@27C PMIC@50C GPU@25C AO@33.5C thermal@25.25C POM_5V_IN 1518/1518 POM_5V_GPU 0/0 POM_5V_CPU 446/446
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23C CPU@27C PMIC@50C GPU@25C AO@33.5C thermal@25.25C POM_5V_IN 1605/1561 POM_5V_GPU 0/0 POM_5V_CPU 446/446
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23C CPU@27C PMIC@50C GPU@25C AO@34C thermal@25.25C POM_5V_IN 1695/1606 POM_5V_GPU 0/0 POM_5V_CPU 489/460
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 1781/1649 POM_5V_GPU 0/0 POM_5V_CPU 489/467
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27C PMIC@50C GPU@25.5C AO@33.5C thermal@25.25C POM_5V_IN 1826/1685 POM_5V_GPU 0/0 POM_5V_CPU 533/480
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27C PMIC@50C GPU@25.5C AO@33.5C thermal@25.25C POM_5V_IN 1868/1715 POM_5V_GPU 0/0 POM_5V_CPU 533/489
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 1912/1743 POM_5V_GPU 0/0 POM_5V_CPU 533/495
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 1957/1770 POM_5V_GPU 0/0 POM_5V_CPU 533/500
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@34C thermal@25.25C POM_5V_IN 2001/1795 POM_5V_GPU 0/0 POM_5V_CPU 532/503
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23.5C CPU@27.5C PMIC@50C GPU@25.5C AO@33.5C thermal@25.25C POM_5V_IN 2001/1816 POM_5V_GPU 0/0 POM_5V_CPU 577/511
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23C CPU@27C PMIC@50C GPU@25C AO@34C thermal@25.25C POM_5V_IN 2043/1837 POM_5V_GPU 0/0 POM_5V_CPU 577/517
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [0%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23C CPU@27C PMIC@50C GPU@25C AO@34C thermal@25.25C POM_5V_IN 2087/1857 POM_5V_GPU 0/0 POM_5V_CPU 577/522
RAM 575/3964MB (lfb 589x4MB) IRAM 0/252kB(lfb 252kB) CPU [100%@1479,0%@1479,0%@1479,0%@1479] EMC_FREQ 0%@1600 GR3D_FREQ 0%@76 APE 25 PLL@23C CPU@27.5C PMIC@50C GPU@25C AO@33.5C thermal@25.25C POM_5V_IN 2087/1875 POM_5V_GPU 0/0 POM_5V_CPU 577/526
